Number,Total Cites,name,score
189,"9,053",Annual Review of Genetics,16.830
190,"27,067",Advanced Science,16.806
191,"16,915",TRENDS IN IMMUNOLOGY,16.687
192,"53,361",EUROPEAN RESPIRATORY JOURNAL,16.671
193,"6,851",Academy of Management Annals,16.438
194,"5,972",Nano-Micro Letters,16.419
195,"16,279",FEMS MICROBIOLOGY REVIEWS,16.408
196,"59,682","IEEE TRANSACTIONS ON PATTERN ANALYSIS
AND MACHINE INTELLIGENCE",16.389
197,"9,204",Annual Review of Materials Research,16.286
198,"4,714","PROGRESS IN PARTICLE AND NUCLEAR
PHYSICS",16.281
199,"61,557",MOLECULAR BIOLOGY AND EVOLUTION,16.240
200,"7,328",PROGRESS IN LIPID RESEARCH,16.195
201,"14,720",JAMA Pediatrics,16.193
202,"4,103",Annual Review of Condensed Matter Physics,16.109
203,"4,285",STUDIES IN MYCOLOGY,16.097
204,"25,343",Autophagy,16.016
205,"28,622",MOLECULAR PSYCHIATRY,15.992
206,"195,525",ACS Nano,15.881
207,"27,701",CELL DEATH AND DIFFERENTIATION,15.828
208,"9,424",Nature Plants,15.793
209,"22,327",Physical Review X,15.762
210,"11,552",SEMINARS IN CANCER BIOLOGY,15.707
211,"19,416",SYSTEMATIC BIOLOGY,15.683
212,"12,334",HUMAN REPRODUCTION UPDATE,15.610
213,"24,405",Journal of Thoracic Oncology,15.609
214,"2,357",Matter,15.589
215,"38,427",QUARTERLY JOURNAL OF ECONOMICS,15.563
216,"17,114",EUROPEAN JOURNAL OF HEART FAILURE,15.534
217,"1,212",Nature Machine Intelligence,15.508
218,"12,031",Annual Review of Microbiology,15.500
219,"43,769",ADVANCED DRUG DELIVERY REVIEWS,15.470
220,"10,794",Nature Ecology & Evolution,15.460
221,"609,263","JOURNAL OF THE AMERICAN CHEMICAL
SOCIETY",15.419
222,"32,038","NATURE STRUCTURAL & MOLECULAR
BIOLOGY",15.369
223,"410,750","ANGEWANDTE CHEMIE-INTERNATIONAL
EDITION",15.336
224,729,Energy & Environmental Materials,15.122
225,"27,428",Nature Chemical Biology,15.040
226,"132,560","RENEWABLE & SUSTAINABLE ENERGY
REVIEWS",14.982
227,"453,215",Nature Communications,14.919
228,"5,352",Protein & Cell,14.870
229,"5,512",FORBES,14.826
230,"15,308",TRENDS IN PHARMACOLOGICAL SCIENCES,14.819
231,"132,296",JOURNAL OF CLINICAL INVESTIGATION,14.808
232,"14,398",JACC-Cardiovascular Imaging,14.805
233,"12,793",JAMA Surgery,14.766
234,"11,453",JAMA Cardiology,14.676
235,"12,051",Microbiome,14.650
236,"2,145",Bioactive Materials,14.593
237,"11,097",ACS Central Science,14.553
238,"5,524",Nature Astronomy,14.437
239,"5,267",Nature Reviews Urology,14.432
240,"74,803",JOURNAL OF EXPERIMENTAL MEDICINE,14.307
241,"8,136",MOLECULAR ASPECTS OF MEDICINE,14.235
242,"23,792",BIOTECHNOLOGY ADVANCES,14.227
243,"4,237",Trends in Cancer,14.226
244,"3,084",Annual Review of Nuclear and Particle Science,14.219
245,"6,772",Molecular Neurodegeneration,14.195
246,"7,188",Small Methods,14.188
247,"65,205",Science Advances,14.136
248,"12,245","INTERNATIONAL JOURNAL OF INFORMATION
MANAGEMENT",14.098
249,"23,595",Annual Review of Ecology Evolution and Systematics,13.915
250,"5,492",Annual Review of Marine Science,13.850
251,"22,858",TRENDS IN NEUROSCIENCES,13.837
252,"11,884",Annual Review of Cell and Developmental Biology,13.827
253,"9,016",Annual Review of Pharmacology and Toxicology,13.820
254,"22,003",TRENDS IN BIOCHEMICAL SCIENCES,13.807
255,"30,986",BRITISH JOURNAL OF SPORTS MEDICINE,13.800
256,"11,042",Journal for ImmunoTherapy of Cancer,13.751
257,"7,553",Annual Review of Medicine,13.739
258,"5,549",Nature Human Behaviour,13.663
258,"5,549",Nature Human Behaviour,13.663
260,"3,253",Annual Review of Food Science and Technology,13.635
261,"54,758",GENOME BIOLOGY,13.583
262,"2,665",Bone Research,13.567
263,"1,658",Nature Metabolism,13.511
264,"42,005",JNCI-Journal of the National Cancer Institute,13.506
265,"64,627",BRAIN,13.501
266,"50,846",Nature Protocols,13.491
267,"2,372","Journal of King Saud University-Computer and
Information Sciences",13.473
268,"16,901","IEEE Transactions on Systems Man Cybernetics-
Systems",13.451
269,"13,293",NATURAL PRODUCT REPORTS,13.423
270,"6,670","INTERNATIONAL JOURNAL OF MANAGEMENT
REVIEWS",13.419
271,"50,155",BIOLOGICAL PSYCHIATRY,13.382
272,"2,958",Polymer Reviews,13.282
273,"77,926",Small,13.281
274,"180,395",CHEMICAL ENGINEERING JOURNAL,13.273
275,"10,285",Materials Horizons,13.266
276,"15,778",Molecular Plant,13.164
277,"25,131",ALLERGY,13.146
278,"9,217",Laser & Photonics Reviews,13.138
279,"92,236",ACS Catalysis,13.084
280,"10,431",Annual Review of Phytopathology,13.078
281,"1,164",Advances in Nano Research,13.052
282,"12,492",JOURNAL OF PINEAL RESEARCH,13.007
283,"19,337",IMMUNOLOGICAL REVIEWS,12.988
284,"18,985","ADVANCES IN COLLOID AND INTERFACE
SCIENCE",12.984
285,"3,782",Annual Review of Biophysics,12.981
286,"9,059",Information Fusion,12.975
287,"64,045",ANNALS OF SURGERY,12.969
288,"6,835",MEDICINAL RESEARCH REVIEWS,12.944
289,"4,551","JOURNAL OF PHOTOCHEMISTRY AND
PHOTOBIOLOGY C-PHOTOCHEMISTRY
REVIEWS",12.927
290,"5,908",Journal of Cachexia Sarcopenia and Muscle,12.910
291,"17,047",BIOLOGICAL REVIEWS,12.820
292,"10,528","COMPREHENSIVE REVIEWS IN FOOD SCIENCE
AND FOOD SAFETY",12.811
293,"10,307",Annual Review of Earth and Planetary Sciences,12.810
294,"23,058",CLINICAL PSYCHOLOGY REVIEW,12.792
295,"5,368",Lancet HIV,12.767
296,810,npj Flexible Electronics,12.740
297,"193,793",Journal of Materials Chemistry A,12.732
298,"9,090",Annual Review of Physical Chemistry,12.703
299,"159,236",CANCER RESEARCH,12.701
300,"47,985",ACADEMY OF MANAGEMENT REVIEW,12.638
301,"1,005",LAB ANIMAL,12.625
302,"11,610",BEHAVIORAL AND BRAIN SCIENCES,12.579
302,"11,610",BEHAVIORAL AND BRAIN SCIENCES,12.579
304,"13,654",REVIEW OF EDUCATIONAL RESEARCH,12.565
305,"27,289",TRENDS IN FOOD SCIENCE & TECHNOLOGY,12.563
306,"8,881","CRITICAL REVIEWS IN ENVIRONMENTAL
SCIENCE AND TECHNOLOGY",12.561
307,"12,559",IEEE SIGNAL PROCESSING MAGAZINE,12.551
308,"105,958",CLINICAL CANCER RESEARCH,12.531
309,"126,871",BIOMATERIALS,12.479
310,"14,699",Annual Review of Neuroscience,12.449
311,"27,304",EARTH-SCIENCE REVIEWS,12.413
312,"21,235",PHARMACOLOGY & THERAPEUTICS,12.310
313,"17,812",NEURO-ONCOLOGY,12.300
314,"25,063",TRAC-TRENDS IN ANALYTICAL CHEMISTRY,12.296
315,"36,177",DEVELOPMENTAL CELL,12.270
316,"4,627",SURFACE SCIENCE REPORTS,12.267
317,"1,434",PROGRESS IN QUANTUM ELECTRONICS,12.250
318,"4,355",npj Computational Materials,12.241
319,752,Advances in Carbohydrate Chemistry and Biochemistry,12.200
320,"11,474",EMBO Molecular Medicine,12.137
321,"11,834",CANCER TREATMENT REVIEWS,12.111
322,"50,321",OPHTHALMOLOGY,12.079
323,"18,553",JOURNAL OF BUSINESS VENTURING,12.065
324,"6,212",JACC-Heart Failure,12.035
325,"20,515",IEEE TRANSACTIONS ON FUZZY SYSTEMS,12.029
326,"11,973","TRENDS IN ENDOCRINOLOGY AND
METABOLISM",12.015
327,"9,116",IEEE WIRELESS COMMUNICATIONS,11.979
328,"13,213",TRENDS IN MOLECULAR MEDICINE,11.951
329,"10,050",Journal of the National Comprehensive Cancer Network,11.908
330,"6,896",Annual Review of Nutrition,11.848
331,"1,445",Analytic Methods in Accident Research,11.806
332,"15,982",Redox Biology,11.799
333,"34,496",JOURNAL OF MANAGEMENT,11.790
334,"8,832",Science Bulletin,11.780
335,"5,653","COMPUTER-AIDED CIVIL AND
INFRASTRUCTURE ENGINEERING",11.775
336,"1,152",Dialogues in Human Geography,11.769
337,"3,407",Journal of Service Management,11.768
338,"4,873",ECONOMIC GEOGRAPHY,11.767
339,"1,579",Liver Cancer,11.740
340,"15,161",PROGRESS IN NEUROBIOLOGY,11.685
341,"2,406",npj Digital Medicine,11.653
342,"14,465",TRENDS IN GENETICS,11.639
343,"10,353",BRIEFINGS IN BIOINFORMATICS,11.622
344,"11,218",SLEEP MEDICINE REVIEWS,11.609
345,"76,189",EMBO JOURNAL,11.598
346,"8,972",MATRIX BIOLOGY,11.583
347,"23,558",Theranostics,11.556
348,"16,918","IEEE TRANSACTIONS ON EVOLUTIONARY
COMPUTATION",11.554
349,"8,489",Cellular & Molecular Immunology,11.530
350,"34,181",LEUKEMIA,11.528
351,"40,257","JOURNAL OF THE AMERICAN ACADEMY OF
DERMATOLOGY",11.527
352,"2,201",Clinical and Translational Medicine,11.492
353,"24,333",MOLECULAR THERAPY,11.454
354,"24,753",IEEE Transactions on Cybernetics,11.448
355,"10,149",Molecular Systems Biology,11.429
356,"1,322",Exposure and Health,11.422
357,"6,314",Acta Pharmaceutica Sinica B,11.413
358,"24,144",Clinical Gastroenterology and Hepatology,11.382
358,"20,422","JOURNAL OF INTERNATIONAL BUSINESS
STUDIES",11.382
360,"61,885",GENES & DEVELOPMENT,11.361
361,"2,039",IEEE Computational Intelligence Magazine,11.356
362,"4,756","CURRENT OPINION IN SOLID STATE &
MATERIALS SCIENCE",11.354
363,"5,421",Earth System Science Data,11.333
364,"18,605",PSYCHOLOGICAL METHODS,11.302
365,"3,501",Lancet Child & Adolescent Health,11.288
366,"64,794",PLANT CELL,11.277
367,"120,695",WATER RESEARCH,11.236
368,"3,052",AMERICAN JOURNAL OF BIOETHICS,11.229
368,"3,052",AMERICAN JOURNAL OF BIOETHICS,11.229
370,"799,058","PROCEEDINGS OF THE NATIONAL ACADEMY
OF SCIENCES OF THE UNITED STATES OF
AMERICA",11.205
371,"15,448",JACC-Cardiovascular Interventions,11.195
372,"177,909",NANO LETTERS,11.189
373,"23,225","CRITICAL REVIEWS IN FOOD SCIENCE AND
NUTRITION",11.176
374,"16,717","JOURNAL OF EXPERIMENTAL & CLINICAL
CANCER RESEARCH",11.161
375,"11,185",Cancer Immunology Research,11.151
376,"23,632",SPORTS MEDICINE,11.136
377,"6,814",SEMINARS IN IMMUNOLOGY,11.130
378,"13,600","FRONTIERS IN ECOLOGY AND THE
ENVIRONMENT",11.123
379,"4,501",IEEE CONTROL SYSTEMS MAGAZINE,11.119
380,"8,115",Genome Medicine,11.117
381,"25,321",ADMINISTRATIVE SCIENCE QUARTERLY,11.113
382,"5,711",Annual Review of Environment and Resources,11.108
382,"5,711",Annual Review of Environment and Resources,11.108
384,"1,480",npj 2D Materials and Applications,11.106
385,"72,249",RADIOLOGY,11.105
386,"13,404",Optica,11.104
387,"2,429",ACTA NUMERICA,11.091
388,"42,445",PLOS MEDICINE,11.069
389,"2,373","Annual Review of Chemical and Biomolecular
Engineering",11.059
390,"15,205","MICROBIOLOGY AND MOLECULAR BIOLOGY
REVIEWS",11.056
391,"2,491",PERSOONIA,11.051
392,"4,691",Blood Cancer Journal,11.037
393,"43,477",AMERICAN JOURNAL OF HUMAN GENETICS,11.025
393,"1,942",Physics of Life Reviews,11.025
395,"2,945","JOURNAL OF STRATEGIC INFORMATION
SYSTEMS",11.022
395,"2,945","JOURNAL OF STRATEGIC INFORMATION
SYSTEMS",11.022
397,"12,332",Additive Manufacturing,10.998
398,"16,730",Arthritis & Rheumatology,10.995
399,"3,434",Nanoscale Horizons,10.989
400,"14,155",Journal of Travel Research,10.982
401,"37,117",TOURISM MANAGEMENT,10.967
402,"36,371",PROCEEDINGS OF THE IEEE,10.961
403,"4,513",MASS SPECTROMETRY REVIEWS,10.946
404,"2,698",NUCLEAR DATA SHEETS,10.941
405,"51,010",CEMENT AND CONCRETE RESEARCH,10.933
406,"10,264",AGEING RESEARCH REVIEWS,10.895
407,"36,450",AMERICAN PSYCHOLOGIST,10.885
408,"37,888",AMERICAN JOURNAL OF GASTROENTEROLOGY,10.864
409,"57,192",GLOBAL CHANGE BIOLOGY,10.863
410,"58,008",IEEE TRANSACTIONS ON IMAGE PROCESSING,10.856
411,"3,492",Cell Discovery,10.849
412,"78,289",CURRENT BIOLOGY,10.834
413,"63,614","JOURNAL OF ALLERGY AND CLINICAL
IMMUNOLOGY",10.793
414,"26,765",CARDIOVASCULAR RESEARCH,10.787
415,"10,631",SIAM REVIEW,10.780
416,"2,788",Annual Review of Analytical Chemistry,10.745
417,"1,105",Bioengineering & Translational Medicine,10.711
418,"6,526",IEEE NETWORK,10.693
419,"7,025","BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS
ON CANCER",10.680
420,"17,130",AGE AND AGEING,10.668
421,"7,747",JOURNAL OF SERVICE RESEARCH,10.667
422,"69,561",BIOSENSORS & BIOELECTRONICS,10.618
423,"52,616",KIDNEY INTERNATIONAL,10.612
424,"3,528",Reviews in Aquaculture,10.592
425,"137,983",JOURNAL OF HAZARDOUS MATERIALS,10.588
426,"4,775",Trauma Violence & Abuse,10.570
427,"3,207",Kidney International Supplements,10.545
428,"79,173",JOURNAL OF CELL BIOLOGY,10.539
429,"14,059",LEADERSHIP QUARTERLY,10.517
430,"3,197",IEEE Transactions on Affective Computing,10.506
431,"6,650",NPG Asia Materials,10.481
432,"5,927",Journal of Advanced Research,10.479
433,"36,361","IEEE Transactions on Neural Networks and Learning
Systems",10.451
434,"6,775",JOURNAL OF NANOBIOTECHNOLOGY,10.435
435,"2,317",Annual Review of Virology,10.431
436,"43,728",ANNALS OF NEUROLOGY,10.422
437,"1,307",Cancer Communications,10.392
438,"2,223",IEEE Vehicular Technology Magazine,10.384
439,"2,120","CRITICAL REVIEWS IN SOLID STATE AND
MATERIALS SCIENCES",10.367
440,831,npj Regenerative Medicine,10.364
441,"35,072",MOVEMENT DISORDERS,10.338
442,"13,458",ECOLOGICAL MONOGRAPHS,10.315
443,"5,813",Cell Systems,10.304
444,"10,505",Business Strategy and the Environment,10.302
444,"33,484",ISME Journal,10.302
446,"10,790",ACM COMPUTING SURVEYS,10.282
446,"8,448",JAMA Dermatology,10.282
448,"15,107","JOURNAL OF HEART AND LUNG
TRANSPLANTATION",10.247
449,"6,085",Gut Microbes,10.245
450,"10,937",PROGRESS IN HUMAN GEOGRAPHY,10.218
451,"27,020",IEEE Transactions on Industrial Informatics,10.215
452,"25,879",RESOURCES CONSERVATION AND RECYCLING,10.204
453,"54,951",ACADEMY OF MANAGEMENT JOURNAL,10.194
454,"44,350",HYPERTENSION,10.190
455,"59,999",GREEN CHEMISTRY,10.182
456,"73,581",REMOTE SENSING OF ENVIRONMENT,10.164
457,"37,094","JOURNAL OF NEUROLOGY NEUROSURGERY
AND PSYCHIATRY",10.154
458,"72,708",NEW PHYTOLOGIST,10.151
459,"38,164",DIABETOLOGIA,10.122
460,"45,533","JOURNAL OF THE AMERICAN SOCIETY OF
NEPHROLOGY",10.121
461,"14,018",ENDOSCOPY,10.093
462,"2,726",Journal of Magnesium and Alloys,10.088
463,"16,942",ENTREPRENEURSHIP THEORY AND PRACTICE,10.075
464,"1,149",Journal of Industrial Information Integration,10.063
465,"32,949",JOURNAL OF NUCLEAR MEDICINE,10.057
466,"27,030",IEEE TRANSACTIONS ON MEDICAL IMAGING,10.048
467,"15,239",AMERICAN JOURNAL OF HEMATOLOGY,10.047
468,"5,423",Applied Materials Today,10.041
469,"22,738",Cold Spring Harbor Perspectives in Biology,10.005
470,"3,743",Wiley Interdisciplinary Reviews-RNA,9.957
471,472,Annual Review of Criminology,9.956
472,"6,729",Biofabrication,9.954
473,"8,782",Cardiovascular Diabetology,9.951
474,"23,612",HAEMATOLOGICA,9.941
475,"3,485",Advances in Virus Research,9.937
476,"17,525",Advanced Healthcare Materials,9.933
477,"20,693",Advanced Optical Materials,9.926
478,"109,905",NEUROLOGY,9.910
479,"77,576",ONCOGENE,9.867
480,"4,885",Family Business Review,9.848
481,"14,496",Perspectives on Psychological Science,9.837
482,"65,945",Chemical Science,9.825
483,"124,153",CHEMISTRY OF MATERIALS,9.811
484,"13,143",PLANT BIOTECHNOLOGY JOURNAL,9.803
485,"3,086","PROGRESS IN NUCLEAR MAGNETIC
RESONANCE SPECTROSCOPY",9.795
486,"10,661",METABOLIC ENGINEERING,9.783
487,"60,586",JOURNAL OF CONTROLLED RELEASE,9.776
488,"13,493",AUTOIMMUNITY REVIEWS,9.754
489,"122,712",APPLIED ENERGY,9.746
490,"18,835",CURRENT OPINION IN BIOTECHNOLOGY,9.740
491,"80,377",ENERGY CONVERSION AND MANAGEMENT,9.709
492,"3,530",Environmental Innovation and Societal Transitions,9.680
492,"3,530",Environmental Innovation and Societal Transitions,9.680
494,"9,463",Journal of Energy Chemistry,9.676
495,"26,801",AMERICAN SOCIOLOGICAL REVIEW,9.654
496,"4,598",TRANSPORT REVIEWS,9.643
497,"166,941",BIORESOURCE TECHNOLOGY,9.642
498,475,Opto-Electronic Advances,9.636
498,"1,352",SEPARATION AND PURIFICATION REVIEWS,9.636
500,"5,651",Seminars in Immunopathology,9.623
501,"43,201",ENVIRONMENT INTERNATIONAL,9.621
502,"24,517",IEEE COMMUNICATIONS MAGAZINE,9.619
503,647,Trends in Environmental Analytical Chemistry,9.600
504,"4,305",ANGIOGENESIS,9.596
505,"97,509",CARBON,9.594
506,"5,462",Annual Review of Biomedical Engineering,9.590
507,"15,479",DRUGS,9.546
508,"7,792",EDUCATIONAL PSYCHOLOGIST,9.541
509,"23,032","GLOBAL ENVIRONMENTAL CHANGE-HUMAN
AND POLICY DIMENSIONS",9.523
509,"23,032","GLOBAL ENVIRONMENTAL CHANGE-HUMAN
AND POLICY DIMENSIONS",9.523
511,"53,052",DESALINATION,9.501
512,"41,215",ECOLOGY LETTERS,9.492
